package,pass,fail
github.com/DataDog/dd-trace-go/v2/internal/orchestrion,10,0
github.com/DataDog/dd-trace-go/v2/internal/orchestrion/generator,10,0
github.com/DataDog/dd-trace-go/v2/internal/orchestrion/matrix,10,0
github.com/DataDog/dd-trace-go/v2/internal/osinfo,10,0
github.com/DataDog/dd-trace-go/v2/internal/processtags,10,0
github.com/DataDog/dd-trace-go/v2/internal/remoteconfig,10,0
github.com/DataDog/dd-trace-go/v2/internal/samplernames,10,0
github.com/DataDog/dd-trace-go/v2/internal/stableconfig,10,0
github.com/DataDog/dd-trace-go/v2/internal/stacktrace,10,0
github.com/DataDog/dd-trace-go/v2/internal/statsdtest,10,0
github.com/DataDog/dd-trace-go/v2/internal/synctest,10,0
github.com/DataDog/dd-trace-go/v2/internal/telemetry,10,0
github.com/DataDog/dd-trace-go/v2/internal/telemetry/internal,10,0
github.com/DataDog/dd-trace-go/v2/internal/telemetry/internal/knownmetrics,10,0
github.com/DataDog/dd-trace-go/v2/internal/telemetry/internal/knownmetrics/generator,10,0
github.com/DataDog/dd-trace-go/v2/internal/telemetry/internal/mapper,10,0
github.com/DataDog/dd-trace-go/v2/internal/telemetry/internal/transport,10,0
github.com/DataDog/dd-trace-go/v2/internal/telemetry/log,10,0
github.com/DataDog/dd-trace-go/v2/internal/telemetry/telemetrytest,10,0
github.com/DataDog/dd-trace-go/v2/internal/traceprof,10,0
github.com/DataDog/dd-trace-go/v2/internal/traceprof/testapp,10,0
github.com/DataDog/dd-trace-go/v2/internal/urlsanitizer,10,0
github.com/DataDog/dd-trace-go/v2/internal/version,10,0
github.com/DataDog/dd-trace-go/v2/llmobs,10,0
github.com/DataDog/dd-trace-go/v2/llmobs/dataset,10,0
github.com/DataDog/dd-trace-go/v2/llmobs/experiment,10,0
github.com/DataDog/dd-trace-go/v2/orchestrion,10,0
github.com/DataDog/dd-trace-go/v2/profiler,9,1
github.com/DataDog/dd-trace-go/v2/profiler/internal,10,0
github.com/DataDog/dd-trace-go/v2/profiler/internal/fastdelta,10,0
github.com/DataDog/dd-trace-go/v2/profiler/internal/immutable,10,0
github.com/DataDog/dd-trace-go/v2/profiler/internal/pproflite,10,0
github.com/DataDog/dd-trace-go/v2/profiler/internal/pprofutils,10,0
github.com/DataDog/dd-trace-go/v2/scripts,10,0
